"Labour force characteristics by gender and detailed age group, annual 1 2 3"
"Frequency: Annual"
"Table: 14-10-0327-01"
"Release date: 2025-01-24"
"Geography: Canada, Province or territory"
""
""

,,,"Gender 5 6","Men+","Women+"
"Geography 4","Labour force characteristics","Age group","Reference period"
"Newfoundland and Labrador",,,,"Persons in thousands",
,"Labour force 7","15 years and over","2014","145.2","128.6"
,,,"2015","145.4","130.8"
,,,"2016","143.8","128.5"
,,,"2017","138.6","128.7"
,,,"2018","139.0","126.1"
,,,"2019","139.6","123.9"
,,,"2020","132.0","121.6"
,,,"2021","135.0","123.8"
,,,"2022","137.7","126.4"
,,,"2023","137.0","127.7"
,,,"2024","139.5","132.5"
,,,,"Percent",
,"Unemployment rate 8",,"2014","14.3","10.2"
,,,"2015","15.5","10.4"
,,,"2016","16.3","10.7"
,,,"2017","18.8","11.3"
,,,"2018","16.8","10.9"
,,,"2019","14.3","9.8"
,,,"2020","17.7","10.6"
,,,"2021","16.1","9.7"
,,,"2022","13.6","8.8"
,,,"2023","11.8","7.9"
,,,"2024","12.3","7.5"
"Prince Edward Island",,,,"Persons in thousands",
,"Labour force 7",,"2014","42.0","40.2"
,,,"2015","41.8","39.7"
,,,"2016","41.8","39.0"
,,,"2017","42.7","39.6"
,,,"2018","43.4","41.1"
,,,"2019","44.1","41.8"
,,,"2020","43.7","41.6"
,,,"2021","46.4","42.3"
,,,"2022","47.0","44.2"
,,,"2023","49.9","46.4"
,,,"2024","53.2","47.2"
,,,,"Percent",
,"Unemployment rate 8",,"2014","12.4","9.0"
,,,"2015","12.0","9.3"
,,,"2016","12.7","8.7"
,,,"2017","11.5","8.3"
,,,"2018","11.1","8.8"
,,,"2019","11.1","6.7"
,,,"2020","10.5","10.8"
,,,"2021","11.0","8.5"
,,,"2022","8.3","7.2"
,,,"2023","8.4","5.8"
,,,"2024","8.8","7.0"
"Nova Scotia",,,,"Persons in thousands",
,"Labour force 7",,"2014","252.8","239.0"
,,,"2015","248.9","238.2"
,,,"2016","246.4","236.1"
,,,"2017","248.6","238.5"
,,,"2018","252.1","237.7"
,,,"2019","255.0","246.6"
,,,"2020","254.8","241.7"
,,,"2021","267.0","253.2"
,,,"2022","270.9","255.7"
,,,"2023","277.6","261.9"
,,,"2024","287.6","269.9"
,,,,"Percent",
,"Unemployment rate 8",,"2014","11.0","7.2"
,,,"2015","10.4","7.3"
,,,"2016","10.2","6.6"
,,,"2017","10.8","6.5"
,,,"2018","9.6","6.2"
,,,"2019","8.8","6.2"
,,,"2020","10.8","9.1"
,,,"2021","9.7","7.4"
,,,"2022","7.3","5.7"
,,,"2023","7.0","5.7"
,,,"2024","7.4","5.6"
"New Brunswick",,,,"Persons in thousands",
,"Labour force 7",,"2014","207.8","189.7"
,,,"2015","205.8","188.5"
,,,"2016","206.9","189.3"
,,,"2017","203.7","188.5"
,,,"2018","202.5","189.3"
,,,"2019","204.3","189.6"
,,,"2020","203.5","188.8"
,,,"2021","206.7","195.1"
,,,"2022","207.8","197.0"
,,,"2023","214.1","201.8"
,,,"2024","222.1","208.2"
,,,,"Percent",
,"Unemployment rate 8",,"2014","11.8","8.1"
,,,"2015","12.6","7.3"
,,,"2016","12.4","6.8"
,,,"2017","10.2","6.4"
,,,"2018","9.6","6.6"
,,,"2019","9.5","6.8"
,,,"2020","12.1","8.5"
,,,"2021","10.5","7.9"
,,,"2022","8.2","6.1"
,,,"2023","8.0","5.0"
,,,"2024","8.4","5.6"
"Quebec",,,,"Persons in thousands",
,"Labour force 7",,"2014","2,305.1","2,059.3"
,,,"2015","2,313.2","2,066.2"
,,,"2016","2,308.3","2,072.5"
,,,"2017","2,342.8","2,092.8"
,,,"2018","2,364.3","2,124.8"
,,,"2019","2,384.3","2,144.9"
,,,"2020","2,371.4","2,115.5"
,,,"2021","2,397.7","2,141.7"
,,,"2022","2,417.3","2,173.5"
,,,"2023","2,494.8","2,239.6"
,,,"2024","2,548.1","2,274.6"
,,,,"Percent",
,"Unemployment rate 8",,"2014","9.1","6.6"
,,,"2015","8.5","6.8"
,,,"2016","8.3","6.1"
,,,"2017","6.5","5.7"
,,,"2018","5.9","5.0"
,,,"2019","5.6","4.4"
,,,"2020","9.1","8.7"
,,,"2021","6.4","5.8"
,,,"2022","4.6","4.0"
,,,"2023","4.9","4.0"
,,,"2024","5.7","4.9"
"Ontario",,,,"Persons in thousands",
,"Labour force 7",,"2014","3,855.8","3,513.1"
,,,"2015","3,872.4","3,493.6"
,,,"2016","3,906.0","3,516.0"
,,,"2017","3,985.8","3,582.5"
,,,"2018","4,040.8","3,633.4"
,,,"2019","4,137.8","3,710.2"
,,,"2020","4,133.9","3,671.7"
,,,"2021","4,254.3","3,805.8"
,,,"2022","4,330.7","3,890.8"
,,,"2023","4,476.2","4,007.6"
,,,"2024","4,637.4","4,117.3"
,,,,"Percent",
,"Unemployment rate 8",,"2014","7.6","7.2"
,,,"2015","7.1","6.5"
,,,"2016","6.8","6.3"
,,,"2017","6.3","5.8"
,,,"2018","5.6","5.7"
,,,"2019","5.7","5.4"
,,,"2020","9.6","10.0"
,,,"2021","8.1","8.2"
,,,"2022","5.5","5.7"
,,,"2023","5.5","5.8"
