Province,Year,Sex,log_Rate,Treat,Post,Treat_x_Post,Control_UnemploymentRate,Time_Trend
Newfoundland and Labrador,2014,Men+,-4.336258216218301,0,0,0,14.3,0
Newfoundland and Labrador,2015,Men+,-4.286341384539473,0,0,0,15.5,1
Newfoundland and Labrador,2016,Men+,-4.226486100557569,0,0,0,16.3,2
Newfoundland and Labrador,2017,Men+,-4.4009638356936325,0,0,0,18.8,3
Newfoundland and Labrador,2018,Men+,-4.672109668663201,0,1,0,16.8,4
Newfoundland and Labrador,2019,Men+,-4.756459633534318,0,1,0,14.3,5
Newfoundland and Labrador,2020,Men+,-4.700480365792417,0,1,0,17.7,6
Newfoundland and Labrador,2021,Men+,-4.90527477843843,0,1,0,16.1,7
Newfoundland and Labrador,2022,Men+,-4.7427558489406545,0,1,0,13.6,8
Newfoundland and Labrador,2023,Men+,-4.389352674765955,0,1,0,11.8,9
Newfoundland and Labrador,2024,Men+,-4.40743635019925,0,1,0,12.3,10
Prince Edward Island,2014,Men+,-4.653960350157523,0,0,0,12.4,0
Prince Edward Island,2015,Men+,-4.243721963296701,0,0,0,12.0,1
Prince Edward Island,2016,Men+,-4.243721963296701,0,0,0,12.7,2
Prince Edward Island,2017,Men+,-4.110873864173311,0,0,0,11.5,3
Prince Edward Island,2018,Men+,-4.686750172980514,0,1,0,11.1,4
Prince Edward Island,2019,Men+,-4.143134726391533,0,1,0,11.1,5
Prince Edward Island,2020,Men+,-4.288173725867535,0,1,0,10.5,6
Prince Edward Island,2021,Men+,-4.530446639792155,0,1,0,11.0,7
Prince Edward Island,2022,Men+,-4.206822545648791,0,1,0,8.3,8
Prince Edward Island,2023,Men+,-4.420846626523463,0,1,0,8.4,9
Prince Edward Island,2024,Men+,-4.197201947661808,0,1,0,8.8,10
Nova Scotia,2014,Men+,-3.923160749838602,0,0,0,11.0,0
Nova Scotia,2015,Men+,-3.776585034533042,0,0,0,10.4,1
Nova Scotia,2016,Men+,-3.858297606071983,0,0,0,10.2,2
Nova Scotia,2017,Men+,-4.011767782300336,0,0,0,10.8,3
Nova Scotia,2018,Men+,-4.048221293269658,0,1,0,9.6,4
Nova Scotia,2019,Men+,-4.037186148382152,0,1,0,8.8,5
Nova Scotia,2020,Men+,-4.205477856965668,0,1,0,10.8,6
Nova Scotia,2021,Men+,-3.864482060659146,0,1,0,9.7,7
Nova Scotia,2022,Men+,-3.7772004570400037,0,1,0,7.3,8
Nova Scotia,2023,Men+,-3.9397822750624205,0,1,0,7.0,9
Nova Scotia,2024,Men+,-4.467648157374457,0,1,0,7.4,10
New Brunswick,2014,Men+,-4.2051739671740265,0,0,0,11.8,0
New Brunswick,2015,Men+,-4.01857200374977,0,0,0,12.6,1
New Brunswick,2016,Men+,-4.2008334732603965,0,0,0,12.4,2
New Brunswick,2017,Men+,-4.287028906051602,0,0,0,10.2,3
New Brunswick,2018,Men+,-4.1168174180741595,0,1,0,9.6,4
New Brunswick,2019,Men+,-4.220977213155467,0,1,0,9.5,5
New Brunswick,2020,Men+,-4.360154559855213,0,1,0,12.1,6
New Brunswick,2021,Men+,-4.375757021660286,0,1,0,10.5,7
New Brunswick,2022,Men+,-4.271865341672699,0,1,0,8.2,8
New Brunswick,2023,Men+,-4.085509350133573,0,1,0,8.0,9
New Brunswick,2024,Men+,-4.447616285872946,0,1,0,8.4,10
Quebec,2014,Men+,-3.6109179126442243,0,0,0,9.1,0
Quebec,2015,Men+,-3.6637778202803832,0,0,0,8.5,1
Quebec,2016,Men+,-3.6942222985244317,0,0,0,8.3,2
Quebec,2017,Men+,-3.7301853173159816,0,0,0,6.5,3
Quebec,2018,Men+,-3.826655466358023,0,1,0,5.9,4
Quebec,2019,Men+,-3.7495250466657106,0,1,0,5.6,5
Quebec,2020,Men+,-3.885556746935426,0,1,0,9.1,6
Quebec,2021,Men+,-3.8348750742422877,0,1,0,6.4,7
Quebec,2022,Men+,-3.843016344546618,0,1,0,4.6,8
Quebec,2023,Men+,-3.961234133611372,0,1,0,4.9,9
Quebec,2024,Men+,-3.9191516860963294,0,1,0,5.7,10
Ontario,2014,Men+,-3.472345174601441,0,0,0,7.6,0
Ontario,2015,Men+,-3.419018706842791,0,0,0,7.1,1
Ontario,2016,Men+,-3.510662572144114,0,0,0,6.8,2
Ontario,2017,Men+,-3.513051916970706,0,0,0,6.3,3
Ontario,2018,Men+,-3.4063581712029314,0,1,0,5.6,4
Ontario,2019,Men+,-3.4719906202743682,0,1,0,5.7,5
Ontario,2020,Men+,-3.5066949846972713,0,1,0,9.6,6
Ontario,2021,Men+,-3.539444359067378,0,1,0,8.1,7
Ontario,2022,Men+,-3.5230179288046277,0,1,0,5.5,8
Ontario,2023,Men+,-3.5774163337131637,0,1,0,5.5,9
Ontario,2024,Men+,-3.549306916156217,0,1,0,7.3,10
Manitoba,2014,Men+,-4.285133570115154,0,0,0,5.6,0
Manitoba,2015,Men+,-4.360603129246806,0,0,0,5.6,1
Manitoba,2016,Men+,-4.107041393016508,0,0,0,6.6,2
Manitoba,2017,Men+,-4.235745849226692,0,0,0,5.6,3
Manitoba,2018,Men+,-4.204159428229307,0,1,0,6.4,4
Manitoba,2019,Men+,-4.2145057202834515,0,1,0,5.9,5
Manitoba,2020,Men+,-4.203092192268884,0,1,0,8.4,6
Manitoba,2021,Men+,-4.242764567340374,0,1,0,6.4,7
Manitoba,2022,Men+,-4.342245764662037,0,1,0,4.5,8
Manitoba,2023,Men+,-4.3010575721402144,0,1,0,5.0,9
Manitoba,2024,Men+,-4.230961467530481,0,1,0,5.9,10
Saskatchewan,2014,Men+,-4.037186148382152,0,0,0,3.9,0
Saskatchewan,2015,Men+,-4.2775916165369985,0,0,0,5.6,1
Saskatchewan,2016,Men+,-4.1799104505517475,0,0,0,7.1,2
Saskatchewan,2017,Men+,-4.306212662675059,0,0,0,7.0,3
Saskatchewan,2018,Men+,-4.349970669495615,0,1,0,6.7,4
Saskatchewan,2019,Men+,-4.382331466256794,0,1,0,5.6,5
Saskatchewan,2020,Men+,-4.33884570926896,0,1,0,8.7,6
Saskatchewan,2021,Men+,-4.712941586230229,0,1,0,7.2,7
Saskatchewan,2022,Men+,-4.345041515954212,0,1,0,5.3,8
Saskatchewan,2023,Men+,-4.109658797195143,0,1,0,5.0,9
Saskatchewan,2024,Men+,-3.902996885042042,0,1,0,5.7,10
Alberta,2014,Men+,-3.482742719220227,0,0,0,4.6,0
Alberta,2015,Men+,-3.6618204745629166,0,0,0,6.5,1
Alberta,2016,Men+,-3.5644187670826906,0,0,0,8.8,2
Alberta,2017,Men+,-3.461326925684142,0,0,0,8.5,3
Alberta,2018,Men+,-3.5671825191364164,0,1,0,6.8,4
Alberta,2019,Men+,-3.6613164723082114,0,1,0,7.5,5
Alberta,2020,Men+,-3.7288630019979316,0,1,0,11.6,6
Alberta,2021,Men+,-3.5545140647012423,0,1,0,8.7,7
Alberta,2022,Men+,-3.601466188241172,0,1,0,5.7,8
Alberta,2023,Men+,-3.583735365250592,0,1,0,5.9,9
Alberta,2024,Men+,-3.6774382304157927,0,1,0,7.0,10
British Columbia,2014,Men+,-3.516457190839329,0,0,0,6.4,0
British Columbia,2015,Men+,-3.506184693359688,0,0,0,6.6,1
British Columbia,2016,Men+,-3.5510712980571877,0,0,0,6.6,2
British Columbia,2017,Men+,-3.556478963504204,0,0,0,5.6,3
British Columbia,2018,Men+,-3.453869416099906,0,1,0,4.7,4
British Columbia,2019,Men+,-3.3623478414457413,0,1,0,4.8,5
British Columbia,2020,Men+,-3.399560050146143,0,1,0,9.2,6
British Columbia,2021,Men+,-3.4925471602503833,0,1,0,6.5,7
